pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,evicted,slo_violation,reward,offered_rps,served_rps,t_s,policy,seed
8.0,2.0,6.0,0.2007678361557197,43.45692344113074,0.28127754075,0.18956995463316662,3.8,False,0.0,-3.8,52.3,43.45692344113074,0.0,rl_homogeneous,0
8.0,2.0,6.0,0.19028302226490296,42.60884409921996,0.19314217210000006,0.19263747110886617,3.8,False,0.0,-3.8,51.4,42.60884409921996,60.0,rl_homogeneous,0
10.0,3.0,7.0,0.1851668132385889,47.263664739663184,0.2267918597,0.19441548072283993,5.1,False,0.0,-5.1,53.0,47.263664739663184,120.0,rl_homogeneous,0
14.0,4.0,10.0,0.15634972046195403,41.98834478043703,0.33262405474999995,0.19554514329004244,7.0,False,0.0,-7.0,51.5,41.98834478043703,180.0,rl_homogeneous,0
14.0,4.0,10.0,0.12844765730682725,40.469014964778026,0.19106358180000008,0.19339355167653716,7.0,False,0.0,-7.0,49.8,40.469014964778026,240.0,rl_homogeneous,0
12.0,4.0,8.0,0.14850575956819764,43.51679026320831,0.14759190545,0.191274819460393,6.4,False,0.0,-6.4,51.7,43.51679026320831,300.0,rl_homogeneous,0
10.0,3.0,7.0,0.16800893787994756,43.950693486865184,0.20533731809999997,0.19038626170872064,5.1,False,0.0,-5.1,53.7,43.950693486865184,360.0,rl_homogeneous,0
10.0,3.0,7.0,0.21171672131814132,44.64606044677446,0.19862660764999954,0.18829528608783602,5.1,False,0.0,-5.1,52.6,44.64606044677446,420.0,rl_homogeneous,0
10.0,3.0,7.0,0.16963869638154055,40.59446377294114,0.15313258899999999,0.19367371546671175,5.1,False,0.0,-5.1,48.5,40.59446377294114,480.0,rl_homogeneous,0
14.0,4.0,10.0,0.1329100621857748,39.15449817016059,0.1552789932,0.19175007835018493,7.0,False,0.0,-7.0,46.9,39.15449817016059,540.0,rl_homogeneous,0
14.0,4.0,10.0,0.1302567137294992,41.812851909289186,0.143241703,0.1975512392921237,7.0,False,0.0,-7.0,48.2,41.812851909289186,600.0,rl_homogeneous,0
12.0,4.0,8.0,0.1401192642666556,43.914183295601084,0.16148887980000004,0.19755309943128063,6.4,False,0.0,-6.4,49.6,43.914183295601084,660.0,rl_homogeneous,0
10.0,3.0,7.0,0.1558252068876313,36.870193944742304,0.14658341100000002,0.19527649847183035,5.1,False,0.0,-5.1,43.7,36.870193944742304,720.0,rl_homogeneous,0
9.0,3.0,6.0,0.17596363666327347,39.64665576166133,0.16742169525,0.19373036807918936,4.8,False,0.0,-4.8,48.5,39.64665576166133,780.0,rl_homogeneous,0
9.0,3.0,6.0,0.16351283071187872,38.557617867956566,0.4640010294,0.1883230825385276,4.8,False,0.0,-4.8,45.8,38.557617867956566,840.0,rl_homogeneous,0
13.0,4.0,9.0,0.134729136767003,37.79779869391987,0.19896356075,0.19110820406125936,6.699999999999999,False,0.0,-6.699999999999999,46.9,37.79779869391987,900.0,rl_homogeneous,0
13.0,4.0,9.0,0.1308974998313489,39.63156960445736,0.1527950466,0.196675875936216,6.699999999999999,False,0.0,-6.699999999999999,47.1,39.63156960445736,960.0,rl_homogeneous,0
