pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,offered_rps,served_rps,p95_client,slo_violation,shortfall_frac,t_s,policy,seed
6.0,6.0,0.0,0.06796942886933002,0.0,7.5282996928999735,0.0,6.0,52.3,0.0,7.5282996928999735,1,1.0,0.0,hpa,0
6.0,6.0,0.0,0.2780589104274885,50.489451911486285,0.5238307167499999,0.17573430585861424,6.0,51.4,50.489451911486285,0.5238307167499999,1,0.01771494335629794,60.0,hpa,0
8.0,8.0,0.0,0.2071507054931476,52.30927783968548,0.5510280196999999,0.18062306618166415,8.0,53.0,52.30927783968548,0.5510280196999999,1,0.013032493590840032,120.0,hpa,0
8.0,8.0,0.0,0.23752666285260807,53.02910623775446,0.16098287014999993,0.1883094101223979,8.0,51.5,53.02910623775446,0.16098287014999993,0,0.0,180.0,hpa,0
8.0,8.0,0.0,0.19816601496979933,52.1469183872531,0.2527227568,0.18609536890099979,8.0,49.8,52.1469183872531,0.2527227568,1,0.0,240.0,hpa,0
8.0,8.0,0.0,0.2202444040079891,52.78785570346799,0.33125965910000005,0.19031959393457631,8.0,51.7,52.78785570346799,0.33125965910000005,1,0.0,300.0,hpa,0
8.0,8.0,0.0,0.21894931804958626,56.331660935641004,0.1807629235,0.1898125484560225,8.0,53.7,56.331660935641004,0.1807629235,0,0.0,360.0,hpa,0
8.0,8.0,0.0,0.2186626013980955,56.796996033237235,0.220554579,0.1932448527666434,8.0,52.6,56.796996033237235,0.220554579,1,0.0,420.0,hpa,0
8.0,8.0,0.0,0.22260639756261313,51.99961706670414,0.15017574179999996,0.1900720806032148,8.0,48.5,51.99961706670414,0.15017574179999996,0,0.0,480.0,hpa,0
8.0,8.0,0.0,0.20330711552367883,49.3026197382336,0.2114723168999999,0.1920202424946878,8.0,46.9,49.3026197382336,0.2114723168999999,1,0.0,540.0,hpa,0
8.0,8.0,0.0,0.18563567455554192,49.84364206509782,0.1946289055,0.17647964195364124,8.0,48.2,49.84364206509782,0.1946289055,0,0.0,600.0,hpa,0
8.0,8.0,0.0,0.20950000829357676,51.284668331878564,0.2111657515,0.18548394721497322,8.0,49.6,51.284668331878564,0.2111657515,1,0.0,660.0,hpa,0
8.0,8.0,0.0,0.1947802152110787,45.116847760358034,0.4170084412000002,0.19063408169433377,8.0,43.7,45.116847760358034,0.4170084412000002,1,0.0,720.0,hpa,0
8.0,8.0,0.0,0.22234557735096389,50.361317897636845,0.5431256450999999,0.18788126660143392,8.0,48.5,50.361317897636845,0.5431256450999999,1,0.0,780.0,hpa,0
8.0,8.0,0.0,0.19940216903083066,47.36901095618779,0.16247636534999993,0.19048912044493607,8.0,45.8,47.36901095618779,0.16247636534999993,0,0.0,840.0,hpa,0
8.0,8.0,0.0,0.20171445813495303,49.9718243160072,0.1684438555,0.1909212140740662,8.0,46.9,49.9718243160072,0.1684438555,0,0.0,900.0,hpa,0
8.0,8.0,0.0,0.20108008281168824,52.005185948104874,0.1539840232,0.18932634820199218,8.0,47.1,52.005185948104874,0.1539840232,0,0.0,960.0,hpa,0
8.0,8.0,0.0,0.21220304864788161,52.81414763477191,0.1553096175,0.19285361030252757,8.0,47.4,52.81414763477191,0.1553096175,0,0.0,1020.0,hpa,0
8.0,8.0,0.0,0.227760360413047,51.67809658335103,0.20872447180000026,0.19200710961291478,8.0,49.0,51.67809658335103,0.20872447180000026,1,0.0,1080.0,hpa,0
8.0,8.0,0.0,0.21926769742120422,52.91873098877848,0.27574630569999986,0.19167901523220612,8.0,50.3,52.91873098877848,0.27574630569999986,1,0.0,1140.0,hpa,0
8.0,8.0,0.0,0.21573749484348934,50.14571487735236,0.20244938324999984,0.19229855106722213,8.0,47.2,50.14571487735236,0.20244938324999984,1,0.0,1200.0,hpa,0
8.0,8.0,0.0,0.2248750598041961,52.757889943723264,0.20641612835000003,0.1932196279811753,8.0,50.6,52.757889943723264,0.20641612835000003,1,0.0,1260.0,hpa,0
8.0,8.0,0.0,0.2040293108049583,47.09367461856046,0.21712643199999998,0.19165753052453252,8.0,45.5,47.09367461856046,0.21712643199999998,1,0.0,1320.0,hpa,0
8.0,8.0,0.0,0.18814088207266244,50.01463840918516,0.4676141325999998,0.18416877787328478,8.0,47.8,50.01463840918516,0.4676141325999998,1,0.0,1380.0,hpa,0
8.0,8.0,0.0,0.22075502537220865,52.65932038361798,0.34975188055,0.18568648784108147,8.0,48.9,52.65932038361798,0.34975188055,1,0.0,1440.0,hpa,0
8.0,8.0,0.0,0.21470992628432953,50.938009274813275,0.17101398064999987,0.1815482073567579,8.0,46.7,50.938009274813275,0.17101398064999987,0,0.0,1500.0,hpa,0
8.0,8.0,0.0,0.19152777234836074,47.91406863726338,0.17229325599999995,0.19018079980186015,8.0,44.5,47.91406863726338,0.17229325599999995,0,0.0,1560.0,hpa,0
8.0,8.0,0.0,0.1832686293998574,45.01381728102292,0.1637538704,0.1930771123542568,8.0,43.9,45.01381728102292,0.1637538704,0,0.0,1620.0,hpa,0
8.0,8.0,0.0,0.19299064289717588,46.26117062435807,0.14937568725,0.1871517390535166,8.0,44.8,46.26117062435807,0.14937568725,0,0.0,1680.0,hpa,0
8.0,8.0,0.0,0.20667884681956786,48.638086395720926,0.15600388525,0.19092640562586954,8.0,46.2,48.638086395720926,0.15600388525,0,0.0,1740.0,hpa,0
8.0,8.0,0.0,0.18341681828495457,45.08417634452808,0.20579200704999998,0.19238184715280032,8.0,43.1,45.08417634452808,0.20579200704999998,1,0.0,1800.0,hpa,0
8.0,8.0,0.0,0.19582493488921573,45.77403451818221,0.26295626860000004,0.18759438641965334,8.0,44.8,45.77403451818221,0.26295626860000004,1,0.0,1860.0,hpa,0
8.0,8.0,0.0,0.16061454369833744,47.587409363321775,0.22507078,0.19021048846204414,8.0,44.7,47.587409363321775,0.22507078,1,0.0,1920.0,hpa,0
8.0,8.0,0.0,0.1839970761954008,49.86485164474903,0.13234865250000002,0.1929829226854547,8.0,46.2,49.86485164474903,0.13234865250000002,0,0.0,1980.0,hpa,0
8.0,8.0,0.0,0.32658248002599827,60.93152250705543,2.59762311255,0.1830736157763373,8.0,210.7,60.93152250705543,2.59762311255,1,0.7108138466679856,2040.0,hpa,0
8.0,8.0,0.0,0.3287393095511689,56.39292022923124,2.645187951,0.18400313787389258,8.0,210.8,56.39292022923124,2.645187951,1,0.7324814030871384,2100.0,hpa,0
8.0,8.0,0.0,0.29244737215096817,41.241926504034105,2.8897450944499994,0.18141625359934185,8.0,208.2,41.241926504034105,2.8897450944499994,1,0.8019119764455614,2160.0,hpa,0
