pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,evicted,slo_violation,shortfall_frac,reward,offered_rps,served_rps,p95_client,t_s,policy,seed
8.0,8.0,0.0,0.26400890737217353,79.73424700501643,1.3744479019999989,0.18770337489563815,8.0,False,1,0.0,-8.0,52.3,79.73424700501643,1.3744479019999989,0.0,rl_homogeneous,0
8.0,8.0,0.0,0.253586047665682,80.88987591293504,1.0744963005999997,0.19126191133157622,8.0,False,1,0.0,-8.0,51.4,80.88987591293504,1.0744963005999997,60.0,rl_homogeneous,0
8.0,8.0,0.0,0.28218639197635786,82.51818338231001,1.6752482837500002,0.18913246938659117,8.0,False,1,0.0,-8.0,53.0,82.51818338231001,1.6752482837500002,120.0,rl_homogeneous,0
8.0,8.0,0.0,0.2702811758445095,78.95761171295504,1.1300521341999992,0.18458515391905234,8.0,False,1,0.0,-8.0,51.5,78.95761171295504,1.1300521341999992,180.0,rl_homogeneous,0
8.0,8.0,0.0,0.25972598658555396,72.9926108345928,0.9625267013999993,0.1894769915402183,8.0,False,1,0.0,-8.0,49.8,72.9926108345928,0.9625267013999993,240.0,rl_homogeneous,0
8.0,8.0,0.0,0.2652430554191578,81.82493915164785,1.1303049288,0.18785401001147006,8.0,False,1,0.0,-8.0,51.7,81.82493915164785,1.1303049288,300.0,rl_homogeneous,0
8.0,8.0,0.0,0.2888036147842219,77.98304053147204,1.2487588659999984,0.18806898165271485,8.0,False,1,0.0,-8.0,53.7,77.98304053147204,1.2487588659999984,360.0,rl_homogeneous,0
8.0,8.0,0.0,0.25878329147441065,74.87976354857416,1.0421121360999988,0.18396329925688684,8.0,False,1,0.0,-8.0,52.6,74.87976354857416,1.0421121360999988,420.0,rl_homogeneous,0
8.0,8.0,0.0,0.2487701882032593,77.3996688666714,1.0818060855999996,0.19177178344082402,8.0,False,1,0.0,-8.0,48.5,77.3996688666714,1.0818060855999996,480.0,rl_homogeneous,0
8.0,8.0,0.0,0.2806944289394561,75.3642865531809,1.0998464835999984,0.18651633326982836,8.0,False,1,0.0,-8.0,46.9,75.3642865531809,1.0998464835999984,540.0,rl_homogeneous,0
8.0,8.0,0.0,0.2897758470374531,37.984802213518876,1.8409855422499997,0.19309882738685796,8.0,False,1,0.21193356403487815,-21.043744947947054,48.2,37.984802213518876,1.8409855422499997,600.0,rl_homogeneous,0
8.0,8.0,0.0,0.25790133252460995,15.56849467630498,2.5907025192999997,0.16161535762776352,8.0,False,1,0.6861190589454641,-12.044739668740444,49.6,15.56849467630498,2.5907025192999997,660.0,rl_homogeneous,0
11.0,11.0,0.0,0.1887030380484459,37.2348192341907,2.0034846199000005,0.17706559368277858,11.0,False,1,0.14794463994986956,-11.3,43.7,37.2348192341907,2.0034846199000005,720.0,rl_homogeneous,0
13.0,13.0,0.0,0.15837571090111704,54.85888842763422,2.0847330757,0.19427538314164416,13.0,False,1,0.0,-13.0,48.5,54.85888842763422,2.0847330757,780.0,rl_homogeneous,0
15.0,15.0,0.0,0.1663061928521221,76.51402879604555,0.4493693191999996,0.19307996178671277,15.0,False,1,0.0,-15.0,45.8,76.51402879604555,0.4493693191999996,840.0,rl_homogeneous,0
13.0,13.0,0.0,0.15884704997453233,72.84631217778532,0.25816926214999997,0.19364240256084939,13.0,False,1,0.0,-13.0,46.9,72.84631217778532,0.25816926214999997,900.0,rl_homogeneous,0
11.0,11.0,0.0,0.18070357724934116,75.02117304972344,0.3002953420999999,0.19198970259282516,11.0,False,1,0.0,-11.0,47.1,75.02117304972344,0.3002953420999999,960.0,rl_homogeneous,0
10.0,10.0,0.0,0.2115466316433673,69.1104436417238,0.49781183379999994,0.19009204779843467,10.0,False,1,0.0,-10.0,47.4,69.1104436417238,0.49781183379999994,1020.0,rl_homogeneous,0
9.0,9.0,0.0,0.22647597653042867,71.40357690834185,0.5019926549499998,0.18898763931473003,9.0,False,1,0.0,-9.0,49.0,71.40357690834185,0.5019926549499998,1080.0,rl_homogeneous,0
9.0,9.0,0.0,0.24195736818561767,79.45198875502378,0.513667685,0.19298573537979868,9.0,False,1,0.0,-9.0,50.3,79.45198875502378,0.513667685,1140.0,rl_homogeneous,0
9.0,9.0,0.0,0.23861634697285258,77.50355089217685,0.6301520549999992,0.18911703594444715,9.0,False,1,0.0,-9.0,47.2,77.50355089217685,0.6301520549999992,1200.0,rl_homogeneous,0
8.0,8.0,0.0,0.22394011413732573,70.89310405121064,0.5639805021999995,0.18829701582175404,8.0,False,1,0.0,-8.0,50.6,70.89310405121064,0.5639805021999995,1260.0,rl_homogeneous,0
7.0,7.0,0.0,0.26092741593349816,71.18373713823132,0.8335503940500001,0.19103189077169191,7.0,False,1,0.0,-7.0,45.5,71.18373713823132,0.8335503940500001,1320.0,rl_homogeneous,0
7.0,7.0,0.0,0.2879735601208946,75.21294286179857,1.6083894809999992,0.18546254836131182,7.0,False,1,0.0,-7.0,47.8,75.21294286179857,1.6083894809999992,1380.0,rl_homogeneous,0
7.0,7.0,0.0,0.28563463091920316,73.86558364612533,1.264199216,0.18617943344517382,7.0,False,1,0.0,-7.0,48.9,73.86558364612533,1.264199216,1440.0,rl_homogeneous,0
7.0,7.0,0.0,0.28266102130160775,73.31402037569397,1.3196409387999997,0.1855054245753727,7.0,False,1,0.0,-7.0,46.7,73.31402037569397,1.3196409387999997,1500.0,rl_homogeneous,0
7.0,7.0,0.0,0.2693492199360775,69.74823959410091,0.9101293863,0.1842708438796925,7.0,False,1,0.0,-7.0,44.5,69.74823959410091,0.9101293863,1560.0,rl_homogeneous,0
7.0,7.0,0.0,0.2537870579763313,65.29118397920973,0.7276737693,0.17932400745385305,7.0,False,1,0.0,-7.0,43.9,65.29118397920973,0.7276737693,1620.0,rl_homogeneous,0
6.0,6.0,0.0,0.2540913288229399,66.88566452310843,1.2817872521499993,0.17655296889099556,6.0,False,1,0.0,-6.0,44.8,66.88566452310843,1.2817872521499993,1680.0,rl_homogeneous,0
6.0,6.0,0.0,0.25420194870409907,69.99486461536314,1.4365443135,0.17212937145239132,6.0,False,1,0.0,-6.0,46.2,69.99486461536314,1.4365443135,1740.0,rl_homogeneous,0
6.0,6.0,0.0,0.2901593566488691,64.29813893223925,1.2791385903999999,0.1746887062778522,6.0,False,1,0.0,-6.0,43.1,64.29813893223925,1.2791385903999999,1800.0,rl_homogeneous,0
