seed,policy,viol_rate,p95_max,cost_hr,pods_mean,spot_frac,sf_rate,evict_count,post_evict_p95,post_evict_sf
0,hpa_ondemand,0.45,0.5879581225343801,8.0,8.0,0.0,0.03332484329115925,0,,
0,naive_spot,0.45,0.6304720175484044,5.283333333333333,7.75,0.5161290322580645,0.03332484329115925,5,0.4042389988057387,0.0
0,rl_homogeneous,0.45,0.5879581225343801,8.3,8.15,0.0,0.03332484329115925,0,,
0,rl_spot,0.55,3.5,2.890000000000001,6.316666666666666,0.8390501319261213,0.036610112206599224,5,1.6077001059981257,0.02553191489361702
1,hpa_ondemand,0.38333333333333336,0.6713425575477723,8.0,8.0,0.0,0.024157068213966112,0,,
1,naive_spot,0.4,0.7756833578106525,5.266666666666667,7.8,0.5128205128205129,0.024157068213966112,4,0.39634491872403493,0.1818004676539361
1,rl_homogeneous,0.38333333333333336,0.7756833578106525,8.55,8.316666666666666,0.0,0.024157068213966112,0,,
1,rl_spot,0.55,3.5,2.8883333333333336,6.4,0.8098958333333334,0.026123410739544797,4,1.1062691335540342,0.19641465315666407
2,hpa_ondemand,0.4666666666666667,0.7562604146829948,8.0,8.0,0.0,0.02181624948300215,0,,
2,naive_spot,0.5333333333333333,0.8087031502779417,5.283333333333333,7.7,0.5194805194805194,0.02181624948300215,6,0.4714745984647566,0.10928020987047056
2,rl_homogeneous,0.4666666666666667,3.5,8.483333333333333,8.266666666666667,0.0,0.022474368560163934,0,,
2,rl_spot,0.5833333333333334,3.5,3.113333333333333,6.25,0.7626666666666666,0.02695609245007097,6,1.444835501038664,0.13921586919280152
3,hpa_ondemand,0.45,1.5516110856692897,8.0,8.0,0.0,0.049752083423860095,0,,
3,naive_spot,0.45,1.5516110856692897,5.233333333333333,7.9,0.5063291139240506,0.049752083423860095,2,0.3607830105998575,0.0
3,rl_homogeneous,0.45,1.5516110856692897,8.5,8.316666666666666,0.0,0.049752083423860095,0,,
3,rl_spot,0.5166666666666667,1.5516110856692897,2.6,6.766666666666667,0.8866995073891626,0.049752083423860095,2,0.5038827685136209,0.0
4,hpa_ondemand,0.38333333333333336,0.7584333385639446,8.0,8.0,0.0,0.03738104554412695,0,,
4,naive_spot,0.38333333333333336,0.7584333385639446,5.283333333333333,7.733333333333333,0.5172413793103449,0.03738104554412695,6,0.3997390746214957,0.12462462462462463
4,rl_homogeneous,0.4,0.7584333385639446,8.233333333333333,8.083333333333334,0.0,0.03738104554412695,0,,
4,rl_spot,0.5833333333333334,3.5,2.7616666666666663,5.7,0.7865497076023392,0.038762789316551784,6,0.9967695732058228,0.13363363363363365
5,hpa_ondemand,0.31666666666666665,1.1591617318892549,8.0,8.0,0.0,0.04702463612526564,0,,
5,naive_spot,0.31666666666666665,1.1591617318892549,5.25,7.85,0.5095541401273885,0.04702463612526564,4,0.2360510693325038,0.17578456318914334
5,rl_homogeneous,0.3,3.5,8.816666666666666,8.516666666666667,0.0,0.047307361598830804,0,,
5,rl_spot,0.4,3.5,2.87,6.466666666666667,0.8092783505154639,0.05201113772215578,4,1.044338247763896,0.20335029686174724
6,hpa_ondemand,0.5166666666666667,0.7829162704984767,8.0,8.0,0.0,0.061099518420441985,0,,
6,naive_spot,0.5166666666666667,0.7829162704984767,5.233333333333333,7.9,0.5063291139240506,0.061099518420441985,2,0.4596006764906137,0.0
6,rl_homogeneous,0.5333333333333333,0.7829162704984767,8.466666666666667,8.3,0.0,0.061099518420441985,0,,
6,rl_spot,0.6333333333333333,1.3421421779973883,2.525,6.516666666666667,0.8823529411764706,0.061099518420441985,2,0.6714432358284217,0.0
7,hpa_ondemand,0.3333333333333333,0.601164231444404,8.0,8.0,0.0,0.048802408314249875,0,,
7,naive_spot,0.3333333333333333,0.601164231444404,5.25,7.85,0.5095541401273885,0.048802408314249875,3,0.2623395827846529,0.0
7,rl_homogeneous,0.31666666666666665,0.601164231444404,8.366666666666667,8.25,0.0,0.048802408314249875,0,,
7,rl_spot,0.48333333333333334,0.7348209435112475,2.6866666666666665,6.416666666666667,0.8415584415584416,0.048802408314249875,3,0.3308612720512143,0.0
8,hpa_ondemand,0.4,0.8382720905614905,8.0,8.0,0.0,0.03221373756289983,0,,
8,naive_spot,0.4166666666666667,0.8382720905614905,5.283333333333333,7.716666666666667,0.5183585313174945,0.03221373756289983,6,0.46459446622556017,0.10756501182033097
8,rl_homogeneous,0.4,0.8972162591699004,8.333333333333334,8.183333333333334,0.0,0.03221373756289983,0,,
8,rl_spot,0.5166666666666667,3.5,2.963333333333333,6.083333333333333,0.7835616438356164,0.034343430127334616,6,1.9811094020174664,0.12886193746467883
9,hpa_ondemand,0.4,0.9088190812298268,8.0,8.0,0.0,0.05966956714319929,0,,
9,naive_spot,0.4166666666666667,1.0293764911914598,5.3,7.7,0.5194805194805194,0.05966956714319929,6,0.4843920326890602,0.0
9,rl_homogeneous,0.4,0.9088190812298268,8.15,8.0,0.0,0.05966956714319929,0,,
