pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,t_s,policy,seed
8.0,8.0,0.0,0.20025203681499437,51.911733361932114,0.14184880000000002,0.16755557723251813,8.0,0.0,hpa,0
8.0,8.0,0.0,0.19730629508711292,50.97695720588007,0.24831800999999995,0.19321291422559034,8.0,60.0,hpa,0
8.0,8.0,0.0,0.1954774143805478,53.04351937431017,0.1422945,0.18135118267642686,8.0,120.0,hpa,0
8.0,8.0,0.0,0.17470072559014158,50.98204283442404,0.1369015,0.17132496679608722,8.0,180.0,hpa,0
8.0,8.0,0.0,0.2099529591408068,48.7594649577689,0.250924235,0.19407031702227423,8.0,240.0,hpa,0
8.0,8.0,0.0,0.21077282119550858,51.047426373722246,0.15742599999999998,0.1843741085270729,8.0,300.0,hpa,0
8.0,8.0,0.0,0.21443349323099564,52.97857599835929,0.1302002,0.1756716917121404,8.0,360.0,hpa,0
8.0,8.0,0.0,0.19231088563897933,51.06940169919773,0.1440743,0.1880311285049224,8.0,420.0,hpa,0
8.0,8.0,0.0,0.1917322688541683,48.046770577032895,0.2378353,0.1940605102857514,8.0,480.0,hpa,0
8.0,8.0,0.0,0.18093333077395507,46.04569042970964,0.12930193499999998,0.1843028671663635,8.0,540.0,hpa,0
8.0,8.0,0.0,0.1621035094037143,48.002777636064444,0.12988769499999991,0.17626372503440757,8.0,600.0,hpa,0
8.0,8.0,0.0,0.1925878889849318,49.02295607161667,0.1326062,0.17994528398512927,8.0,660.0,hpa,0
8.0,8.0,0.0,0.1732047640479819,42.95631014022534,0.1386209099999999,0.1848984396457346,8.0,720.0,hpa,0
8.0,8.0,0.0,0.18755642613223966,47.912662776123184,0.133328,0.1817288480903118,8.0,780.0,hpa,0
8.0,8.0,0.0,0.1728553380517663,44.979110663716455,0.1334323,0.1805386499878534,8.0,840.0,hpa,0
8.0,8.0,0.0,0.1730775722796898,46.024133509157494,0.14409413499999998,0.1813421278301064,8.0,900.0,hpa,0
8.0,8.0,0.0,0.1863312523374887,47.02259409221418,0.24655314,0.1914677417408405,8.0,960.0,hpa,0
8.0,8.0,0.0,0.18016138153480823,46.95757451654839,0.13471539999999999,0.17968247864984438,8.0,1020.0,hpa,0
8.0,8.0,0.0,0.1897658101757131,49.09041289262206,0.2514373,0.1932030908524861,8.0,1080.0,hpa,0
8.0,8.0,0.0,0.18591610937383263,49.85759130730623,0.24828204999999998,0.19383519214944706,8.0,1140.0,hpa,0
8.0,8.0,0.0,0.16026507488460887,46.97975568840499,0.1337854099999999,0.17820588713790025,8.0,1200.0,hpa,0
8.0,8.0,0.0,0.2049404854605278,49.8678588124903,0.1273096,0.1532501810232435,8.0,1260.0,hpa,0
