pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,t_s,policy,seed
2.0,2.0,0.0,0.4026981558284008,0.0,,,2.0,0.0,hpa,0
4.0,4.0,0.0,0.25538649872804825,16.6369710467706,0.09500706214689264,0.09922740112994351,4.0,60.0,hpa,0
4.0,4.0,0.0,0.34666584771068776,52.97626107174902,0.09360837401270358,0.09872167480254072,4.0,120.0,hpa,0
13.0,11.0,2.0,0.13187829959153172,50.8466907410297,0.0874196541078327,0.09794476179979474,11.6,180.0,hpa,0
13.0,11.0,2.0,0.16340674467090804,49.089291701993886,0.04972813076094331,0.08868094681639188,11.6,240.0,hpa,0
19.0,15.0,4.0,0.11377267914917752,51.035437470338124,0.06304389664638752,0.09340355820524254,16.2,300.0,hpa,0
19.0,15.0,4.0,0.12237602994890509,52.933644647244776,0.05178403792360543,0.09141658872153251,16.2,360.0,hpa,0
19.0,15.0,4.0,0.11942356435225941,51.94594828781228,0.04982490662335681,0.08922950923365784,16.2,420.0,hpa,0
19.0,15.0,4.0,0.11701343724846615,48.04536850304018,0.049487940325414925,0.08559899715065486,16.2,480.0,hpa,0
19.0,15.0,4.0,0.10996893226378351,46.01375866346223,0.04968184361275906,0.08927380056183931,16.2,540.0,hpa,0
19.0,15.0,4.0,0.11019790425457156,47.99972960894235,0.04985737333733258,0.09002738047109879,16.2,600.0,hpa,0
19.0,15.0,4.0,0.11249808383235774,49.04733163912732,0.049392489583429074,0.08394338213621505,16.2,660.0,hpa,0
19.0,15.0,4.0,0.09768488395658563,43.03708969504286,0.04953743482247369,0.08498364437127941,16.2,720.0,hpa,0
19.0,15.0,4.0,0.11568185701274462,48.05170289740766,0.04976022412571237,0.08907756995260281,16.2,780.0,hpa,0
19.0,15.0,4.0,0.10788955279030978,44.99192451548697,0.04967806623362319,0.08719408232218853,16.2,840.0,hpa,0
19.0,15.0,4.0,0.10936585460832067,46.059224769494016,0.04979257168616863,0.09043334042807516,16.2,900.0,hpa,0
19.0,15.0,4.0,0.10283059451347468,47.064784313255494,0.049600028103263,0.08758918318086899,16.2,960.0,hpa,0
19.0,15.0,4.0,0.09792884675409735,46.92912106740841,0.04964464971630835,0.08728607934614989,16.2,1020.0,hpa,0
