pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,offered_rps,served_rps,p95_client,slo_violation,shortfall_frac,t_s,policy,seed
8.0,8.0,0.0,0.2309384908226429,54.61741953627223,0.273136109349999,0.18540582822008522,8.0,52.3,54.61741953627223,0.273136109349999,1,0.0,0.0,rl_homogeneous,0
8.0,8.0,0.0,0.21162008878398575,53.19524881381886,0.22966178729999967,0.18415525784881248,8.0,51.4,53.19524881381886,0.22966178729999967,1,0.0,60.0,rl_homogeneous,0
8.0,8.0,0.0,0.2298143871213128,55.091818196163906,0.1736184989,0.1887988883031926,8.0,53.0,55.091818196163906,0.1736184989,0,0.0,120.0,rl_homogeneous,0
8.0,8.0,0.0,0.2092943960868303,55.23213827440283,0.3090632064999999,0.19166965496427812,8.0,51.5,55.23213827440283,0.3090632064999999,1,0.0,180.0,rl_homogeneous,0
8.0,8.0,0.0,0.19455998713227102,50.97856959739023,0.26874535000000005,0.18784131965461692,8.0,49.8,50.97856959739023,0.26874535000000005,1,0.0,240.0,rl_homogeneous,0
8.0,8.0,0.0,0.22457870857680656,55.77750312536963,0.264115079,0.18267328904647778,8.0,51.7,55.77750312536963,0.264115079,1,0.0,300.0,rl_homogeneous,0
8.0,8.0,0.0,0.20130033431145583,56.347561955988006,0.27070096644999997,0.186343893523715,8.0,53.7,56.347561955988006,0.27070096644999997,1,0.0,360.0,rl_homogeneous,0
8.0,8.0,0.0,0.22779810424217262,55.55383850547511,0.25098728825,0.19061971009143758,8.0,52.6,55.55383850547511,0.25098728825,1,0.0,420.0,rl_homogeneous,0
8.0,8.0,0.0,0.2103747801070003,49.13814451772508,0.17308730269999997,0.19172935327277596,8.0,48.5,49.13814451772508,0.17308730269999997,0,0.0,480.0,rl_homogeneous,0
8.0,8.0,0.0,0.18826157095920032,47.50289463774625,0.12877088559999988,0.19324975297334687,8.0,46.9,47.50289463774625,0.12877088559999988,0,0.0,540.0,rl_homogeneous,0
8.0,8.0,0.0,0.20741376499598663,49.90910513399737,0.1850877725,0.18033069557538792,8.0,48.2,49.90910513399737,0.1850877725,0,0.0,600.0,rl_homogeneous,0
8.0,8.0,0.0,0.20330216938966358,51.86008860159259,0.18581873490000003,0.18869508432686521,8.0,49.6,51.86008860159259,0.18581873490000003,0,0.0,660.0,rl_homogeneous,0
8.0,8.0,0.0,0.1855412038617284,45.119286237112725,0.15564676920000006,0.19330939414016018,8.0,43.7,45.119286237112725,0.15564676920000006,0,0.0,720.0,rl_homogeneous,0
8.0,8.0,0.0,0.21368833855151337,53.023276367065485,0.1772645401499999,0.1803647363061252,8.0,48.5,53.023276367065485,0.1772645401499999,0,0.0,780.0,rl_homogeneous,0
8.0,8.0,0.0,0.18830024760904782,48.2023118127089,0.17054508954999995,0.19028740190035742,8.0,45.8,48.2023118127089,0.17054508954999995,0,0.0,840.0,rl_homogeneous,0
8.0,8.0,0.0,0.18425246948491703,48.98957225510068,0.20442033785,0.19102694036166665,8.0,46.9,48.98957225510068,0.20442033785,1,0.0,900.0,rl_homogeneous,0
8.0,8.0,0.0,0.22621136921823845,50.83307740452612,0.1468022144,0.19134130114046707,8.0,47.1,50.83307740452612,0.1468022144,0,0.0,960.0,rl_homogeneous,0
8.0,8.0,0.0,0.20270869332487323,49.67141540227222,0.2942260940000001,0.18972217442003922,8.0,47.4,49.67141540227222,0.2942260940000001,1,0.0,1020.0,rl_homogeneous,0
8.0,8.0,0.0,0.20744811634893856,51.13841424755045,0.1603252884,0.1901662101659506,8.0,49.0,51.13841424755045,0.1603252884,0,0.0,1080.0,rl_homogeneous,0
8.0,8.0,0.0,0.19147689569385828,53.964257019569985,0.30888652754999985,0.18730692219003242,8.0,50.3,53.964257019569985,0.30888652754999985,1,0.0,1140.0,rl_homogeneous,0
8.0,8.0,0.0,0.19566968474582258,50.22046740509781,0.33163897459999975,0.1917970867295245,8.0,47.2,50.22046740509781,0.33163897459999975,1,0.0,1200.0,rl_homogeneous,0
8.0,8.0,0.0,0.2338703162123801,53.9038108827543,0.18542926949999994,0.18943853063988486,8.0,50.6,53.9038108827543,0.18542926949999994,0,0.0,1260.0,rl_homogeneous,0
8.0,8.0,0.0,0.18821643802792426,48.894068962550314,0.16986815854999995,0.19036856653376638,8.0,45.5,48.894068962550314,0.16986815854999995,0,0.0,1320.0,rl_homogeneous,0
8.0,8.0,0.0,0.1929891612106433,50.489160975741044,0.37467785375,0.18837487120460256,8.0,47.8,50.489160975741044,0.37467785375,1,0.0,1380.0,rl_homogeneous,0
8.0,8.0,0.0,0.22928724876589202,51.98662121256951,0.1877374164,0.19375243225405964,8.0,48.9,51.98662121256951,0.1877374164,0,0.0,1440.0,rl_homogeneous,0
9.0,9.0,0.0,0.181686298218336,47.79849848260747,0.20014557300000002,0.19282109882596443,9.0,46.7,47.79849848260747,0.20014557300000002,1,0.0,1500.0,rl_homogeneous,0
9.0,9.0,0.0,0.16085823240787747,46.24566202434111,0.19051096719999963,0.19549201473134242,9.0,44.5,46.24566202434111,0.19051096719999963,0,0.0,1560.0,rl_homogeneous,0
9.0,9.0,0.0,0.17805720711521944,46.2680717416313,0.17112325620000002,0.18931450829734225,9.0,43.9,46.2680717416313,0.17112325620000002,0,0.0,1620.0,rl_homogeneous,0
10.0,10.0,0.0,0.1761163386767794,48.068092658663375,0.13805914699999994,0.19384672925313393,10.0,44.8,48.068092658663375,0.13805914699999994,0,0.0,1680.0,rl_homogeneous,0
11.0,11.0,0.0,0.1492024441082556,47.951441536650705,0.18958313079999994,0.19045237900635487,11.0,46.2,47.951441536650705,0.18958313079999994,0,0.0,1740.0,rl_homogeneous,0
11.0,11.0,0.0,0.13746680315724094,46.66003716966201,0.118738659,0.19142481003423406,11.0,43.1,46.66003716966201,0.118738659,0,0.0,1800.0,rl_homogeneous,0
11.0,11.0,0.0,0.14643895025278364,47.73555493802475,0.15516378119999988,0.19063300613208606,11.0,44.8,47.73555493802475,0.15516378119999988,0,0.0,1860.0,rl_homogeneous,0
11.0,11.0,0.0,0.14152166243905767,46.04271860240477,0.17202169605,0.1936822984717608,11.0,44.7,46.04271860240477,0.17202169605,0,0.0,1920.0,rl_homogeneous,0
11.0,11.0,0.0,0.14916464623282774,49.37898524794358,0.1211174808,0.19205347456919203,11.0,46.2,49.37898524794358,0.1211174808,0,0.0,1980.0,rl_homogeneous,0
11.0,11.0,0.0,0.29783850546099183,138.82036200429187,1.9333562644,0.17743998508676775,11.0,210.7,138.82036200429187,1.9333562644,1,0.34114683434128207,2040.0,rl_homogeneous,0
11.0,11.0,0.0,0.3058518260984771,144.54637961065828,1.9326309874999998,0.18067004904166403,11.0,210.8,144.54637961065828,1.9326309874999998,1,0.31429611190389817,2100.0,rl_homogeneous,0
11.0,11.0,0.0,0.26466326198910073,126.75349665336776,2.0910388181999995,0.17839973451564956,11.0,208.2,126.75349665336776,2.0910388181999995,1,0.3911935799550059,2160.0,rl_homogeneous,0
9.0,9.0,0.0,0.14913274065308957,45.66530644576009,0.14366712955000002,0.19357647227322983,9.0,43.8,45.66530644576009,0.14366712955000002,0,0.0,2220.0,rl_homogeneous,0
7.0,7.0,0.0,0.18304945035649103,48.0156358449327,0.23664431499999997,0.19289165760410282,7.0,45.8,48.0156358449327,0.23664431499999997,1,0.0,2280.0,rl_homogeneous,0
5.0,5.0,0.0,0.2495712478058639,47.85659294538723,0.61762763585,0.18219717662285131,5.0,47.3,47.85659294538723,0.61762763585,1,0.0,2340.0,rl_homogeneous,0
5.0,5.0,0.0,0.26080612759520083,41.04124237179462,0.3988943368,0.19084185104554569,5.0,40.5,41.04124237179462,0.3988943368,1,0.0,2400.0,rl_homogeneous,0
5.0,5.0,0.0,0.2922904703940016,48.01355490670649,0.8175659379999992,0.18294706743797678,5.0,47.0,48.01355490670649,0.8175659379999992,1,0.0,2460.0,rl_homogeneous,0
5.0,5.0,0.0,0.30533117960297773,47.35136689477067,0.7502112050000005,0.18770859008894508,5.0,46.4,47.35136689477067,0.7502112050000005,1,0.0,2520.0,rl_homogeneous,0
5.0,5.0,0.0,0.3127744192318637,46.5252714455023,0.7595190707499999,0.19029718294583248,5.0,44.9,46.5252714455023,0.7595190707499999,1,0.0,2580.0,rl_homogeneous,0
